Código;Nombre del Cliente;Ruta ;Dirección;Coord. Geocaptura 1;Coord. Geocaptura 2;Venta ultimo mes ;Clasificacion;Dia de visita
1200507196;MERCADOS MAXIMO EL MIRADOR;ML2Q61;CR 33A 106A 05;-75,543065;6,293831667;5715000;A;MI-SA
1210551285;MERCADOS MI ECONOMIA;ML2Q61;CR 58 87AA 14;-75,5674;6,2807;5315000;A;LU-JU
1224285786;MERCADOS SAN ESTEBAN 1 S.A.S;ML2Q61;CL 91 53 28;-75,5642;6,2835;4108400;AA;LU-JU
1224808366;MERQUE PREMIO;ML2Q61;CR 37 N 95 - 41;-75,546894;6,2860694;2376800;AAA;MA-VI
1224714272;MINIMARKET LA ESQUINA DORADA;ML2Q61;CR 49A 87 121;-75,55686167;6,280908333;2309500;AAA;MA-VI
1210262449;MINIMERCADO DANI;ML2Q61;CR 44A 94 134;-75,5518;6,2875;2460000;AAA;LU-JU
1224654572;MINIMERCADO EL CUÑA;ML2Q61;CL 86A 50 05;-75,5582068;6,2792346;3030800;AA;MA-VI
1224652490;MINIMERCADO LA 53;ML2Q61;CR 53 95A 86;-75,5633791;6,288223;3066800;AA;LU-JU
1224072527;MINIMERCADO LOS SOCIOS;ML2Q61;CR 50 89 03;-75,5581;6,2811;3220400;AA;MA-VI
1224843508;MINIMERCADO MARLONDY;ML2Q61;CL 98 49 81;-75,55700333;6,290166667;4802500;A;LU-JU
1224525650;MINIMERCADO SAN ISIDRO;ML2Q61;CL 95 51B 45;-75,5624;6,2873;6148400;A;LU-JU
1224307142;PANADERIA EL BISCOCHITO;ML2Q61;CR 58 86A 04;-75,56676167;6,279771667;10990000;A;LU-MI-VI
1200506860;SALSAMENTARIA LOS ZAGALES;ML2Q61;CL 92 49A 39;-75,5571;6,2833;4290000;A;MA-VI
1200570192;SUPERMCDO LAS GRANJAS;ML2Q61;CR 42B 89A 18;-75,5502;6,2816;3744000;AA;JU
1224562524;SUPERMERCADO EL AHORRO LA 92;ML2Q61;CL 92 36 44;-75,5458036;6,2827856;1780900;AAA;MI-SA
1224563897;SUPERMERCADO EL CAGUAN S.A.S;ML2Q61;CR 36 86B 67;-75,5468456;6,2815328;2792000;AAA;MI-SA
1224340066;SUPERMERCADO GUADALUPE;ML2Q61;CR 40 95A 04;-75,5492;6,2865;7485200;A;MA-VI
1224680218;SUPERMERCADO LOS MONTAÑEROS;ML2Q61;CR 32 102B 142;-75,5418749;6,2934145;2375000;AAA;MI-SA
1210296782;SUPERMERCADO SANTO DOMINGO;ML2Q61;CR 32 102B 49;-75,5421379;6,292647463;2331400;AAA;MI-SA
1200567887;TDA CIELO;ML2Q61;CR 51A 96 113;-75,5612749;6,2897969;2926800;AA;LU-JU
1224785892;TERMINAL PUNTO A;ML2Q61;CL 96 44A 04;-75,55179;6,28761;2642800;AAA;LU-JU
1210265673;TIENDA 4 ESQUINAS;ML2Q61;CR 51A 96 04;-75,5614;6,2888;3024400;AA;LU-JU
1224796002;TIENDA BARATODO;ML2Q61;CL 94 59B 06;-75,55734515;6,285967121;2765300;AAA;MI-SA
1224857298;TIENDA BRAEMA;ML2Q61;CR 50 94 106;-75,5577736;6,2870038;5552900;A;MI-SA
1200577504;TIENDA CACERES;ML2Q61;CR 49B 87 114;-75,55746167;6,280005;2524000;AAA;MA-VI
1200506807;TIENDA COMPREMOS;ML2Q61;CL 90 50B 05;-75,55952333;6,282771667;3193200;AA;MI-SA
1210582411;TIENDA LA DEPORTIVA;ML2Q61;CL 93 46 04;-75,5538;6,2845;3670400;AA;MA-VI
1210204657;TIENDA SAFRA;ML2Q61;CR 44AN 93 92 INT 102;-75,55155833;6,285058333;3336400;AA;LU-JU
;;;;;total;423652500;A;
